Name,EX,EW,Subtotal (EX+EW),CR(PE),CR(PEW),Subtotal (EX+EW+ CR(PE)+CR(PEW)),CR,EN,VU,Subtotal (threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bouvet Island,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
French Southern Territories,0,0,0,0,0,0,0,1,0,1,0,0,7,0,8
Heard Island and McDonald Islands,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
South Georgia and the South Sandwich Islands,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Anguilla,0,0,0,0,0,0,1,1,1,3,0,0,86,0,89
Antigua and Barbuda,0,0,0,0,0,0,0,2,1,3,0,1,166,0,170
Aruba,0,0,0,0,0,0,0,2,3,5,0,1,63,0,69
Bahamas,0,0,0,0,0,0,1,6,5,12,0,8,206,3,229
Barbados,0,0,0,0,0,0,0,1,3,4,0,0,128,1,133
Bermuda,0,1,1,0,0,1,2,5,1,8,0,1,41,1,52
"Bonaire, Sint Eustatius and Saba",0,0,0,0,0,0,0,2,4,6,0,1,139,0,146
Cayman Islands,0,0,0,0,0,0,11,7,5,23,0,4,153,3,183
Cuba,4,1,5,0,0,5,30,61,88,179,0,11,486,4,685
Curaçao,0,0,0,0,0,0,0,1,3,4,0,1,87,0,92
Dominica,0,0,0,0,0,0,1,3,8,12,0,3,218,2,235
Dominican Republic,0,0,0,0,0,0,6,15,27,48,0,7,392,7,454
Grenada,0,0,0,0,0,0,0,1,3,4,0,3,160,0,167
Guadeloupe,0,0,0,0,0,0,0,3,8,11,0,2,225,1,239
Haiti,1,0,1,3,0,4,30,34,30,94,0,6,367,16,484
Jamaica,2,0,2,0,0,2,41,56,117,214,0,76,388,7,687
Martinique,0,0,0,0,0,0,0,3,7,10,0,3,217,1,231
Montserrat,0,0,0,1,0,1,3,1,3,7,0,1,144,0,152
Puerto Rico,0,0,0,0,0,0,23,23,22,68,0,17,372,4,461
Saint Barthélemy,0,0,0,0,0,0,0,1,1,2,0,1,78,0,81
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,2,2,0,1,116,2,121
Saint Lucia,0,0,0,0,0,0,0,2,6,8,0,3,188,1,200
Saint Martin (French part),0,0,0,0,0,0,0,2,1,3,0,1,107,0,111
Saint Vincent and the Grenadines,0,0,0,0,0,0,0,1,4,5,0,3,203,2,213
Sint Maarten (Dutch part),0,0,0,0,0,0,0,2,0,2,0,1,58,0,61
Trinidad and Tobago,0,0,0,6,0,6,15,20,15,50,0,8,435,6,499
Turks and Caicos Islands,0,0,0,0,0,0,1,6,1,8,0,2,94,1,105
"Virgin Islands, British",0,0,0,0,0,0,2,15,7,24,0,12,166,0,202
"Virgin Islands, U.S.",0,0,0,0,0,0,2,10,8,20,0,12,184,0,216
China,3,0,3,4,1,8,100,273,258,631,4,91,2265,197,3191
Hong Kong,0,0,0,0,0,0,3,4,4,11,0,5,293,2,311
Japan,0,0,0,0,0,0,14,22,18,54,0,17,694,29,794
"Korea, Democratic People's Republic of",0,0,0,0,0,0,1,11,6,18,0,3,255,14,290
"Korea, Republic of",0,0,0,0,0,0,6,20,10,36,0,7,329,9,381
Macao,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26
Mongolia,0,0,0,0,0,0,0,0,0,0,0,1,216,10,227
"Taiwan, Province of China",0,1,1,2,1,4,16,41,30,87,1,13,575,14,691
Åland Islands,0,0,0,0,0,0,0,0,1,1,0,0,11,0,12
Albania,0,0,0,0,0,0,1,0,4,5,0,6,485,32,528
Andorra,0,0,0,0,0,0,0,0,1,1,0,1,124,7,133
Austria,0,0,0,0,0,0,6,17,15,38,0,10,478,30,556
Belgium,0,1,1,0,0,1,0,1,2,3,0,5,368,13,390
Bosnia and Herzegovina,0,0,0,0,0,0,1,2,2,5,0,7,366,22,400
Bulgaria,0,0,0,0,0,0,1,4,8,13,0,10,506,47,576
Croatia,1,0,1,0,0,1,1,6,4,11,0,11,509,37,569
Czechia,0,0,0,0,0,0,10,14,7,31,0,5,407,25,468
Denmark,0,0,0,0,0,0,0,0,2,2,0,4,320,9,335
Estonia,0,0,0,0,0,0,1,0,1,2,0,1,256,4,263
Faroe Islands,0,0,0,0,0,0,0,0,1,1,0,0,88,0,89
Finland,0,0,0,0,0,0,0,1,3,4,0,2,329,10,345
France,1,1,2,0,0,2,8,22,33,63,0,42,794,41,942
Germany,0,0,0,0,0,0,17,18,16,51,0,14,485,25,575
Gibraltar,0,0,0,0,0,0,0,0,1,1,0,0,37,1,39
Greece,0,0,0,1,0,1,17,28,32,77,0,31,600,76,784
Greenland,0,0,0,0,0,0,0,0,1,1,0,0,123,0,124
Guernsey,0,0,0,0,0,0,0,0,0,0,0,0,66,0,66
Holy See (Vatican City State),0,0,0,0,0,0,0,0,0,0,0,0,12,0,12
Hungary,0,0,0,0,0,0,13,14,18,45,0,5,394,30,474
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,144,2,146
Ireland,0,0,0,0,0,0,2,2,4,8,0,10,310,3,331
Isle of Man,0,0,0,0,0,0,0,1,0,1,0,0,71,0,72
Italy,0,0,0,1,0,1,41,42,38,121,0,55,805,69,1050
Jersey,0,0,0,0,0,0,0,0,0,0,0,0,70,0,70
Latvia,0,0,0,0,0,0,1,0,0,1,0,2,237,6,246
Liechtenstein,0,0,0,0,0,0,0,1,0,1,0,1,206,10,218
Lithuania,0,0,0,0,0,0,0,1,1,2,0,2,239,8,251
Luxembourg,0,1,1,0,0,1,0,1,2,3,0,2,228,9,243
Malta,0,0,0,0,0,0,2,1,1,4,0,3,165,8,180
Monaco,0,0,0,0,0,0,0,1,1,2,0,0,39,1,42
Montenegro,0,0,0,0,0,0,1,2,3,6,0,10,367,17,400
Netherlands,0,0,0,0,0,0,0,1,2,3,0,2,342,10,357
North Macedonia,0,0,0,0,0,0,0,2,4,6,0,6,372,31,415
Norway,0,0,0,0,0,0,1,8,11,20,0,6,370,10,406
Poland,0,0,0,0,0,0,1,4,11,16,0,10,417,16,459
Portugal,3,0,3,0,0,3,33,54,57,144,0,59,571,44,821
Romania,0,0,0,0,0,0,1,8,5,14,0,10,452,44,520
San Marino,0,0,0,0,0,0,0,0,0,0,0,0,31,0,31
Serbia,0,0,0,0,0,0,0,6,3,9,0,10,412,37,468
Slovakia,0,0,0,0,0,0,9,13,10,32,0,7,329,32,400
Slovenia,0,0,0,0,0,0,1,5,7,13,0,10,446,26,495
Spain,1,1,2,1,0,3,81,110,90,281,2,85,845,47,1262
Svalbard and Jan Mayen,0,0,0,0,0,0,0,1,0,1,0,0,42,0,43
Sweden,0,0,0,0,0,0,0,4,6,10,0,9,403,14,436
Switzerland,0,0,0,0,0,0,3,7,10,20,0,10,459,21,510
United Kingdom,0,1,1,0,0,1,21,16,16,53,0,13,418,17,502
Belize,0,0,0,0,0,0,3,26,24,53,0,8,790,4,855
Costa Rica,0,0,0,0,0,0,11,52,90,153,2,59,1678,21,1913
El Salvador,0,0,0,0,0,0,3,13,26,42,0,8,653,10,713
Guatemala,0,0,0,0,0,0,13,65,73,151,2,26,1144,17,1340
Honduras,0,1,1,0,0,1,43,56,38,137,1,24,1109,6,1278
Mexico,0,2,2,4,1,7,129,389,319,837,5,106,2260,138,3348
Nicaragua,0,0,0,0,0,0,4,21,27,52,1,28,1212,6,1299
Panama,0,0,0,0,1,1,22,84,101,207,2,61,1672,51,1993
Algeria,0,0,0,0,0,0,6,9,15,30,0,33,432,15,510
Egypt,0,0,0,0,0,0,2,5,1,8,0,2,308,5,323
Libya,0,0,0,0,0,0,1,2,6,9,0,7,214,3,233
Morocco,0,0,0,0,0,0,4,26,27,57,0,44,469,18,588
Tunisia,0,0,0,0,0,0,3,3,6,12,0,24,301,9,346
Western Sahara,0,0,0,0,0,0,0,0,0,0,0,0,32,0,32
Canada,1,0,1,0,0,1,6,6,9,21,0,17,983,13,1035
Saint Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0,0,49,0,49
United States,34,5,39,13,12,64,290,170,115,575,0,72,1860,34,2580
Belarus,0,0,0,0,0,0,1,1,0,2,0,2,243,13,260
Moldova,0,0,0,0,0,0,0,0,2,2,0,4,208,13,227
Russian Federation,0,0,0,0,0,0,8,30,26,64,0,22,672,56,814
Ukraine,1,0,1,0,0,1,3,14,12,29,0,8,431,51,520
American Samoa,0,0,0,0,0,0,0,1,2,3,0,3,74,0,80
Australia,1,0,1,1,0,2,65,203,339,607,3,225,2195,62,3093
Christmas Island,0,0,0,0,0,0,0,0,1,1,0,0,42,0,43
Cocos (Keeling) Islands,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18
Cook Islands,1,0,1,0,0,1,8,1,2,11,0,0,50,3,65
Fiji,1,0,1,0,1,2,30,24,36,90,0,16,236,18,361
French Polynesia,6,0,6,0,0,6,26,4,18,48,0,16,122,34,226
Guam,0,0,0,0,0,0,1,2,2,5,0,0,45,1,51
Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,29,0,29
Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,0,33,0,33
"Micronesia, Federated States of",0,0,0,0,0,0,0,3,3,6,0,3,107,1,117
Nauru,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21
New Caledonia,4,0,4,9,0,13,126,220,208,554,7,128,424,34,1151
New Zealand,6,0,6,0,0,6,4,5,12,21,2,19,124,2,174
Niue,0,0,0,0,0,0,0,1,0,1,0,0,42,0,43
Norfolk Island,1,0,1,0,0,1,1,0,1,2,0,0,15,0,18
Northern Mariana Islands,0,0,0,0,0,0,2,2,2,6,0,0,54,0,60
Palau,0,0,0,0,0,0,0,2,3,5,0,2,93,2,102
Papua New Guinea,0,0,0,6,0,6,39,57,174,270,0,78,1124,238,1710
Pitcairn,0,1,1,0,0,1,1,1,5,7,0,0,23,0,31
Samoa,0,0,0,1,0,1,2,2,2,6,0,3,101,0,110
Solomon Islands,0,0,0,0,0,0,0,6,21,27,0,18,304,15,364
Tokelau,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10
Tonga,0,0,0,0,0,0,1,2,4,7,0,1,104,1,113
Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,22,0,22
United States Minor Outlying Islands,0,0,0,0,0,0,0,0,0,0,0,0,23,0,23
Vanuatu,0,0,0,0,0,0,1,4,6,11,1,8,158,1,179
Wallis and Futuna,0,0,0,0,0,0,0,0,1,1,0,1,55,0,57
Argentina,0,1,1,0,0,1,7,21,44,72,0,23,751,21,868
"Bolivia, Plurinational States of",1,3,4,0,1,5,13,72,118,203,1,43,1699,64,2014
Brazil,5,3,8,1,2,11,123,295,316,734,22,122,2960,130,3976
Chile,1,3,4,0,0,4,22,28,33,83,1,18,236,7,349
Colombia,3,4,7,0,1,8,70,183,167,420,4,114,2688,60,3293
Ecuador,3,6,9,48,0,57,271,738,948,1957,1,278,1903,333,4481
Falkland Islands (Malvinas),0,0,0,0,0,0,0,5,0,5,0,1,20,1,27
French Guiana,0,0,0,0,0,0,4,3,13,20,1,4,908,16,949
Guyana,0,0,0,0,0,0,3,9,23,35,1,11,1090,21,1158
Paraguay,0,0,0,0,0,0,3,6,11,20,0,10,519,10,559
Peru,1,3,4,0,0,4,37,93,289,419,4,68,2010,82,2587
Suriname,0,0,0,0,0,0,1,3,25,29,0,5,885,13,932
Uruguay,0,0,0,0,0,0,4,5,13,22,0,2,249,6,279
"Venezuela, Bolivarian Republic of",0,0,0,0,0,0,15,18,75,108,1,78,1936,42,2165
Bangladesh,0,0,0,0,0,0,3,8,14,25,0,8,542,13,588
Bhutan,1,0,1,1,0,2,12,18,15,45,0,14,545,31,636
